r,c,o,a,count
3,6,0,0,1
3,6,0,1,0
3,6,0,2,0
3,6,0,3,0
3,6,0,4,0
3,6,0,5,0
3,6,0,6,0
3,6,0,7,0
3,6,0,8,0
3,6,0,9,0
3,6,0,10,0
3,6,0,11,0
3,6,0,12,0
3,6,0,13,0
3,6,0,14,0
3,6,0,15,0
3,6,0,16,0
3,6,0,17,0
3,6,0,18,0
3,6,0,19,0
3,6,0,20,0
3,6,0,21,0
3,6,0,22,0
3,6,0,23,0
3,6,0,24,0
3,6,0,25,0
3,6,0,26,0
3,6,0,27,0
3,6,1,0,18
3,6,1,1,0
3,6,1,2,0
3,6,1,3,0
3,6,1,4,0
3,6,1,5,0
3,6,1,6,0
3,6,1,7,0
3,6,1,8,0
3,6,1,9,0
3,6,1,10,0
3,6,1,11,0
3,6,1,12,0
3,6,1,13,0
3,6,1,14,0
3,6,1,15,0
3,6,1,16,0
3,6,1,17,0
3,6,1,18,0
3,6,1,19,0
3,6,1,20,0
3,6,1,21,0
3,6,1,22,0
3,6,1,23,0
3,6,1,24,0
3,6,1,25,0
3,6,1,26,0
3,6,1,27,0
3,6,2,0,126
3,6,2,1,27
3,6,2,2,0
3,6,2,3,0
3,6,2,4,0
3,6,2,5,0
3,6,2,6,0
3,6,2,7,0
3,6,2,8,0
3,6,2,9,0
3,6,2,10,0
3,6,2,11,0
3,6,2,12,0
3,6,2,13,0
3,6,2,14,0
3,6,2,15,0
3,6,2,16,0
3,6,2,17,0
3,6,2,18,0
3,6,2,19,0
3,6,2,20,0
3,6,2,21,0
3,6,2,22,0
3,6,2,23,0
3,6,2,24,0
3,6,2,25,0
3,6,2,26,0
3,6,2,27,0
3,6,3,0,442
3,6,3,1,316
3,6,3,2,58
3,6,3,3,0
3,6,3,4,0
3,6,3,5,0
3,6,3,6,0
3,6,3,7,0
3,6,3,8,0
3,6,3,9,0
3,6,3,10,0
3,6,3,11,0
3,6,3,12,0
3,6,3,13,0
3,6,3,14,0
3,6,3,15,0
3,6,3,16,0
3,6,3,17,0
3,6,3,18,0
3,6,3,19,0
3,6,3,20,0
3,6,3,21,0
3,6,3,22,0
3,6,3,23,0
3,6,3,24,0
3,6,3,25,0
3,6,3,26,0
3,6,3,27,0
3,6,4,0,840
3,6,4,1,1333
3,6,4,2,764
3,6,4,3,113
3,6,4,4,10
3,6,4,5,0
3,6,4,6,0
3,6,4,7,0
3,6,4,8,0
3,6,4,9,0
3,6,4,10,0
3,6,4,11,0
3,6,4,12,0
3,6,4,13,0
3,6,4,14,0
3,6,4,15,0
3,6,4,16,0
3,6,4,17,0
3,6,4,18,0
3,6,4,19,0
3,6,4,20,0
3,6,4,21,0
3,6,4,22,0
3,6,4,23,0
3,6,4,24,0
3,6,4,25,0
3,6,4,26,0
3,6,4,27,0
3,6,5,0,880
3,6,5,1,2568
3,6,5,2,3204
3,6,5,3,1572
3,6,5,4,292
3,6,5,5,52
3,6,5,6,0
3,6,5,7,0
3,6,5,8,0
3,6,5,9,0
3,6,5,10,0
3,6,5,11,0
3,6,5,12,0
3,6,5,13,0
3,6,5,14,0
3,6,5,15,0
3,6,5,16,0
3,6,5,17,0
3,6,5,18,0
3,6,5,19,0
3,6,5,20,0
3,6,5,21,0
3,6,5,22,0
3,6,5,23,0
3,6,5,24,0
3,6,5,25,0
3,6,5,26,0
3,6,5,27,0
3,6,6,0,504
3,6,6,1,2366
3,6,6,2,5540
3,6,6,3,6094
3,6,6,4,3058
3,6,6,5,845
3,6,6,6,144
3,6,6,7,13
3,6,6,8,0
3,6,6,9,0
3,6,6,10,0
3,6,6,11,0
3,6,6,12,0
3,6,6,13,0
3,6,6,14,0
3,6,6,15,0
3,6,6,16,0
3,6,6,17,0
3,6,6,18,0
3,6,6,19,0
3,6,6,20,0
3,6,6,21,0
3,6,6,22,0
3,6,6,23,0
3,6,6,24,0
3,6,6,25,0
3,6,6,26,0
3,6,6,27,0
3,6,7,0,158
3,6,7,1,1012
3,6,7,2,4090
3,6,7,3,8724
3,6,7,4,9680
3,6,7,5,5648
3,6,7,6,2052
3,6,7,7,380
3,6,7,8,80
3,6,7,9,0
3,6,7,10,0
3,6,7,11,0
3,6,7,12,0
3,6,7,13,0
3,6,7,14,0
3,6,7,15,0
3,6,7,16,0
3,6,7,17,0
3,6,7,18,0
3,6,7,19,0
3,6,7,20,0
3,6,7,21,0
3,6,7,22,0
3,6,7,23,0
3,6,7,24,0
3,6,7,25,0
3,6,7,26,0
