r,c,o,a,count
4,18,0,0,1
4,18,0,1,0
4,18,0,2,0
4,18,0,3,0
4,18,0,4,0
4,18,0,5,0
4,18,0,6,0
4,18,0,7,0
4,18,0,8,0
4,18,0,9,0
4,18,0,10,0
4,18,0,11,0
4,18,0,12,0
4,18,0,13,0
4,18,0,14,0
4,18,0,15,0
4,18,0,16,0
4,18,0,17,0
4,18,0,18,0
4,18,0,19,0
4,18,0,20,0
4,18,0,21,0
4,18,0,22,0
4,18,0,23,0
4,18,0,24,0
4,18,0,25,0
4,18,0,26,0
4,18,0,27,0
4,18,0,28,0
4,18,0,29,0
4,18,0,30,0
4,18,0,31,0
4,18,0,32,0
4,18,0,33,0
4,18,0,34,0
4,18,0,35,0
4,18,0,36,0
4,18,0,37,0
4,18,0,38,0
4,18,0,39,0
4,18,0,40,0
4,18,0,41,0
4,18,0,42,0
4,18,0,43,0
4,18,0,44,0
4,18,0,45,0
4,18,0,46,0
4,18,0,47,0
4,18,0,48,0
4,18,0,49,0
4,18,0,50,0
4,18,0,51,0
4,18,0,52,0
4,18,0,53,0
4,18,0,54,0
4,18,0,55,0
4,18,0,56,0
4,18,0,57,0
4,18,0,58,0
4,18,0,59,0
4,18,0,60,0
4,18,0,61,0
4,18,0,62,0
4,18,0,63,0
4,18,0,64,0
4,18,0,65,0
4,18,0,66,0
4,18,0,67,0
4,18,0,68,0
4,18,0,69,0
4,18,0,70,0
4,18,0,71,0
4,18,0,72,0
4,18,0,73,0
4,18,0,74,0
4,18,0,75,0
4,18,0,76,0
4,18,0,77,0
4,18,0,78,0
4,18,0,79,0
4,18,0,80,0
4,18,0,81,0
4,18,0,82,0
4,18,0,83,0
4,18,0,84,0
4,18,0,85,0
4,18,0,86,0
4,18,0,87,0
4,18,0,88,0
4,18,0,89,0
4,18,0,90,0
4,18,0,91,0
4,18,0,92,0
4,18,0,93,0
4,18,0,94,0
4,18,0,95,0
4,18,0,96,0
4,18,0,97,0
4,18,0,98,0
4,18,0,99,0
4,18,0,100,0
4,18,0,101,0
4,18,0,102,0
4,18,0,103,0
4,18,0,104,0
4,18,0,105,0
4,18,0,106,0
4,18,0,107,0
4,18,0,108,0
4,18,0,109,0
4,18,0,110,0
4,18,0,111,0
4,18,0,112,0
4,18,0,113,0
4,18,0,114,0
4,18,0,115,0
4,18,0,116,0
4,18,0,117,0
4,18,0,118,0
4,18,0,119,0
4,18,0,120,0
4,18,0,121,0
4,18,0,122,0
