r,c,o,a,count
3,21,0,0,1
3,21,0,1,0
3,21,0,2,0
3,21,0,3,0
3,21,0,4,0
3,21,0,5,0
3,21,0,6,0
3,21,0,7,0
3,21,0,8,0
3,21,0,9,0
3,21,0,10,0
3,21,0,11,0
3,21,0,12,0
3,21,0,13,0
3,21,0,14,0
3,21,0,15,0
3,21,0,16,0
3,21,0,17,0
3,21,0,18,0
3,21,0,19,0
3,21,0,20,0
3,21,0,21,0
3,21,0,22,0
3,21,0,23,0
3,21,0,24,0
3,21,0,25,0
3,21,0,26,0
3,21,0,27,0
3,21,0,28,0
3,21,0,29,0
3,21,0,30,0
3,21,0,31,0
3,21,0,32,0
3,21,0,33,0
3,21,0,34,0
3,21,0,35,0
3,21,0,36,0
3,21,0,37,0
3,21,0,38,0
3,21,0,39,0
3,21,0,40,0
3,21,0,41,0
3,21,0,42,0
3,21,0,43,0
3,21,0,44,0
3,21,0,45,0
3,21,0,46,0
3,21,0,47,0
3,21,0,48,0
3,21,0,49,0
3,21,0,50,0
3,21,0,51,0
3,21,0,52,0
3,21,0,53,0
3,21,0,54,0
3,21,0,55,0
3,21,0,56,0
3,21,0,57,0
3,21,0,58,0
3,21,0,59,0
3,21,0,60,0
3,21,0,61,0
3,21,0,62,0
3,21,0,63,0
3,21,0,64,0
3,21,0,65,0
3,21,0,66,0
3,21,0,67,0
3,21,0,68,0
3,21,0,69,0
3,21,0,70,0
3,21,0,71,0
3,21,0,72,0
3,21,0,73,0
3,21,0,74,0
3,21,0,75,0
3,21,0,76,0
3,21,0,77,0
3,21,0,78,0
3,21,0,79,0
3,21,0,80,0
3,21,0,81,0
3,21,0,82,0
3,21,0,83,0
3,21,0,84,0
3,21,0,85,0
3,21,0,86,0
3,21,0,87,0
3,21,0,88,0
3,21,0,89,0
3,21,0,90,0
3,21,0,91,0
3,21,0,92,0
3,21,0,93,0
3,21,0,94,0
3,21,0,95,0
3,21,0,96,0
3,21,0,97,0
3,21,0,98,0
3,21,0,99,0
3,21,0,100,0
3,21,0,101,0
3,21,0,102,0
3,21,1,0,63
3,21,1,1,0
3,21,1,2,0
3,21,1,3,0
3,21,1,4,0
3,21,1,5,0
3,21,1,6,0
3,21,1,7,0
3,21,1,8,0
3,21,1,9,0
3,21,1,10,0
3,21,1,11,0
3,21,1,12,0
3,21,1,13,0
3,21,1,14,0
3,21,1,15,0
3,21,1,16,0
3,21,1,17,0
3,21,1,18,0
3,21,1,19,0
3,21,1,20,0
3,21,1,21,0
3,21,1,22,0
3,21,1,23,0
3,21,1,24,0
3,21,1,25,0
3,21,1,26,0
3,21,1,27,0
3,21,1,28,0
3,21,1,29,0
3,21,1,30,0
3,21,1,31,0
3,21,1,32,0
3,21,1,33,0
3,21,1,34,0
3,21,1,35,0
3,21,1,36,0
3,21,1,37,0
3,21,1,38,0
