r,c,o,a,count
1,26,0,0,1
1,26,0,1,0
1,26,0,2,0
1,26,0,3,0
1,26,0,4,0
1,26,0,5,0
1,26,0,6,0
1,26,0,7,0
1,26,0,8,0
1,26,0,9,0
1,26,0,10,0
1,26,0,11,0
1,26,0,12,0
1,26,0,13,0
1,26,0,14,0
1,26,0,15,0
1,26,0,16,0
1,26,0,17,0
1,26,0,18,0
1,26,0,19,0
1,26,0,20,0
1,26,0,21,0
1,26,0,22,0
1,26,0,23,0
1,26,0,24,0
1,26,0,25,0
1,26,1,0,26
1,26,1,1,0
1,26,1,2,0
1,26,1,3,0
1,26,1,4,0
1,26,1,5,0
1,26,1,6,0
1,26,1,7,0
1,26,1,8,0
1,26,1,9,0
1,26,1,10,0
1,26,1,11,0
1,26,1,12,0
1,26,1,13,0
1,26,1,14,0
1,26,1,15,0
1,26,1,16,0
1,26,1,17,0
1,26,1,18,0
1,26,1,19,0
1,26,1,20,0
1,26,1,21,0
1,26,1,22,0
1,26,1,23,0
1,26,1,24,0
1,26,1,25,0
1,26,2,0,300
1,26,2,1,25
1,26,2,2,0
1,26,2,3,0
1,26,2,4,0
1,26,2,5,0
1,26,2,6,0
1,26,2,7,0
1,26,2,8,0
1,26,2,9,0
1,26,2,10,0
1,26,2,11,0
1,26,2,12,0
1,26,2,13,0
1,26,2,14,0
1,26,2,15,0
1,26,2,16,0
1,26,2,17,0
1,26,2,18,0
1,26,2,19,0
1,26,2,20,0
1,26,2,21,0
1,26,2,22,0
1,26,2,23,0
1,26,2,24,0
1,26,2,25,0
1,26,3,0,2024
1,26,3,1,552
1,26,3,2,24
1,26,3,3,0
1,26,3,4,0
1,26,3,5,0
1,26,3,6,0
1,26,3,7,0
1,26,3,8,0
1,26,3,9,0
1,26,3,10,0
1,26,3,11,0
1,26,3,12,0
1,26,3,13,0
1,26,3,14,0
1,26,3,15,0
1,26,3,16,0
1,26,3,17,0
1,26,3,18,0
1,26,3,19,0
1,26,3,20,0
1,26,3,21,0
1,26,3,22,0
1,26,3,23,0
1,26,3,24,0
1,26,3,25,0
1,26,4,0,8855
1,26,4,1,5313
1,26,4,2,759
1,26,4,3,23
1,26,4,4,0
1,26,4,5,0
1,26,4,6,0
1,26,4,7,0
1,26,4,8,0
1,26,4,9,0
1,26,4,10,0
1,26,4,11,0
1,26,4,12,0
1,26,4,13,0
1,26,4,14,0
1,26,4,15,0
1,26,4,16,0
1,26,4,17,0
1,26,4,18,0
1,26,4,19,0
1,26,4,20,0
1,26,4,21,0
1,26,4,22,0
1,26,4,23,0
1,26,4,24,0
1,26,4,25,0
1,26,5,0,26334
1,26,5,1,29260
1,26,5,2,9240
1,26,5,3,924
1,26,5,4,22
1,26,5,5,0
1,26,5,6,0
1,26,5,7,0
1,26,5,8,0
1,26,5,9,0
1,26,5,10,0
1,26,5,11,0
1,26,5,12,0
1,26,5,13,0
1,26,5,14,0
1,26,5,15,0
1,26,5,16,0
1,26,5,17,0
1,26,5,18,0
1,26,5,19,0
1,26,5,20,0
1,26,5,21,0
1,26,5,22,0
1,26,5,23,0
1,26,5,24,0
1,26,5,25,0
1,26,6,0,54264
1,26,6,1,101745
1,26,6,2,59850
1,26,6,3,13300
1,26,6,4,1050
1,26,6,5,21
1,26,6,6,0
