r,c,o,a,count
6,8,0,0,1
6,8,0,1,0
6,8,0,2,0
6,8,0,3,0
6,8,0,4,0
6,8,0,5,0
6,8,0,6,0
6,8,0,7,0
6,8,0,8,0
6,8,0,9,0
6,8,0,10,0
6,8,0,11,0
6,8,0,12,0
6,8,0,13,0
6,8,0,14,0
6,8,0,15,0
6,8,0,16,0
6,8,0,17,0
6,8,0,18,0
6,8,0,19,0
6,8,0,20,0
6,8,0,21,0
6,8,0,22,0
6,8,0,23,0
6,8,0,24,0
6,8,0,25,0
6,8,0,26,0
6,8,0,27,0
6,8,0,28,0
6,8,0,29,0
6,8,0,30,0
6,8,0,31,0
6,8,0,32,0
6,8,0,33,0
6,8,0,34,0
6,8,0,35,0
6,8,0,36,0
6,8,0,37,0
6,8,0,38,0
6,8,0,39,0
6,8,0,40,0
6,8,0,41,0
6,8,0,42,0
6,8,0,43,0
6,8,0,44,0
6,8,0,45,0
6,8,0,46,0
6,8,0,47,0
6,8,0,48,0
6,8,0,49,0
6,8,0,50,0
6,8,0,51,0
6,8,0,52,0
6,8,0,53,0
6,8,0,54,0
6,8,0,55,0
6,8,0,56,0
6,8,0,57,0
6,8,0,58,0
6,8,0,59,0
6,8,0,60,0
6,8,0,61,0
6,8,0,62,0
6,8,0,63,0
6,8,0,64,0
6,8,0,65,0
6,8,0,66,0
6,8,0,67,0
6,8,0,68,0
6,8,0,69,0
6,8,0,70,0
6,8,0,71,0
6,8,0,72,0
6,8,0,73,0
6,8,0,74,0
6,8,0,75,0
6,8,0,76,0
6,8,0,77,0
6,8,0,78,0
6,8,0,79,0
6,8,0,80,0
6,8,0,81,0
6,8,0,82,0
6,8,1,0,48
6,8,1,1,0
6,8,1,2,0
6,8,1,3,0
6,8,1,4,0
6,8,1,5,0
6,8,1,6,0
6,8,1,7,0
6,8,1,8,0
6,8,1,9,0
6,8,1,10,0
6,8,1,11,0
6,8,1,12,0
6,8,1,13,0
6,8,1,14,0
6,8,1,15,0
6,8,1,16,0
6,8,1,17,0
6,8,1,18,0
6,8,1,19,0
6,8,1,20,0
6,8,1,21,0
6,8,1,22,0
6,8,1,23,0
6,8,1,24,0
6,8,1,25,0
6,8,1,26,0
6,8,1,27,0
6,8,1,28,0
6,8,1,29,0
6,8,1,30,0
6,8,1,31,0
6,8,1,32,0
6,8,1,33,0
6,8,1,34,0
6,8,1,35,0
6,8,1,36,0
6,8,1,37,0
6,8,1,38,0
6,8,1,39,0
6,8,1,40,0
6,8,1,41,0
6,8,1,42,0
6,8,1,43,0
6,8,1,44,0
6,8,1,45,0
6,8,1,46,0
6,8,1,47,0
6,8,1,48,0
6,8,1,49,0
6,8,1,50,0
6,8,1,51,0
6,8,1,52,0
6,8,1,53,0
6,8,1,54,0
6,8,1,55,0
6,8,1,56,0
6,8,1,57,0
6,8,1,58,0
6,8,1,59,0
6,8,1,60,0
6,8,1,61,0
6,8,1,62,0
6,8,1,63,0
6,8,1,64,0
6,8,1,65,0
6,8,1,66,0
6,8,1,67,0
6,8,1,68,0
6,8,1,69,0
6,8,1,70,0
6,8,1,71,0
6,8,1,72,0
6,8,1,73,0
6,8,1,74,0
6,8,1,75,0
6,8,1,76,0
6,8,1,77,0
6,8,1,78,0
6,8,1,79,0
6,8,1,80,0
6,8,1,81,0
6,8,1,82,0
6,8,2,0,1046
6,8,2,1,82
6,8,2,2,0
6,8,2,3,0
6,8,2,4,0
6,8,2,5,0
6,8,2,6,0
6,8,2,7,0
6,8,2,8,0
6,8,2,9,0
6,8,2,10,0
6,8,2,11,0
6,8,2,12,0
6,8,2,13,0
6,8,2,14,0
6,8,2,15,0
6,8,2,16,0
6,8,2,17,0
6,8,2,18,0
6,8,2,19,0
6,8,2,20,0
6,8,2,21,0
6,8,2,22,0
6,8,2,23,0
6,8,2,24,0
6,8,2,25,0
6,8,2,26,0
6,8,2,27,0
6,8,2,28,0
6,8,2,29,0
6,8,2,30,0
6,8,2,31,0
6,8,2,32,0
6,8,2,33,0
6,8,2,34,0
6,8,2,35,0
6,8,2,36,0
6,8,2,37,0
6,8,2,38,0
6,8,2,39,0
6,8,2,40,0
6,8,2,41,0
6,8,2,42,0
6,8,2,43,0
6,8,2,44,0
6,8,2,45,0
6,8,2,46,0
6,8,2,47,0
6,8,2,48,0
6,8,2,49,0
6,8,2,50,0
6,8,2,51,0
6,8,2,52,0
6,8,2,53,0
6,8,2,54,0
6,8,2,55,0
6,8,2,56,0
6,8,2,57,0
6,8,2,58,0
6,8,2,59,0
6,8,2,60,0
6,8,2,61,0
6,8,2,62,0
6,8,2,63,0
6,8,2,64,0
6,8,2,65,0
6,8,2,66,0
6,8,2,67,0
6,8,2,68,0
6,8,2,69,0
6,8,2,70,0
6,8,2,71,0
6,8,2,72,0
6,8,2,73,0
6,8,2,74,0
6,8,2,75,0
6,8,2,76,0
6,8,2,77,0
6,8,2,78,0
6,8,2,79,0
6,8,2,80,0
6,8,2,81,0
6,8,2,82,0
6,8,3,0,13732
6,8,3,1,3356
6,8,3,2,208
6,8,3,3,0
6,8,3,4,0
6,8,3,5,0
6,8,3,6,0
6,8,3,7,0
6,8,3,8,0
6,8,3,9,0
6,8,3,10,0
6,8,3,11,0
6,8,3,12,0
6,8,3,13,0
6,8,3,14,0
6,8,3,15,0
6,8,3,16,0
6,8,3,17,0
6,8,3,18,0
6,8,3,19,0
6,8,3,20,0
6,8,3,21,0
6,8,3,22,0
6,8,3,23,0
6,8,3,24,0
6,8,3,25,0
6,8,3,26,0
6,8,3,27,0
6,8,3,28,0
6,8,3,29,0
6,8,3,30,0
6,8,3,31,0
6,8,3,32,0
6,8,3,33,0
6,8,3,34,0
6,8,3,35,0
6,8,3,36,0
6,8,3,37,0
6,8,3,38,0
6,8,3,39,0
6,8,3,40,0
6,8,3,41,0
6,8,3,42,0
6,8,3,43,0
6,8,3,44,0
6,8,3,45,0
6,8,3,46,0
6,8,3,47,0
6,8,3,48,0
6,8,3,49,0
6,8,3,50,0
6,8,3,51,0
6,8,3,52,0
6,8,3,53,0
6,8,3,54,0
6,8,3,55,0
6,8,3,56,0
6,8,3,57,0
6,8,3,58,0
6,8,3,59,0
6,8,3,60,0
6,8,3,61,0
6,8,3,62,0
6,8,3,63,0
6,8,3,64,0
6,8,3,65,0
6,8,3,66,0
6,8,3,67,0
6,8,3,68,0
6,8,3,69,0
6,8,3,70,0
6,8,3,71,0
6,8,3,72,0
6,8,3,73,0
6,8,3,74,0
6,8,3,75,0
6,8,3,76,0
6,8,3,77,0
6,8,3,78,0
6,8,3,79,0
6,8,3,80,0
6,8,3,81,0
6,8,3,82,0
6,8,4,0,121560
6,8,4,1,61758
6,8,4,2,10709
6,8,4,3,518
6,8,4,4,35
6,8,4,5,0
6,8,4,6,0
6,8,4,7,0
6,8,4,8,0
6,8,4,9,0
6,8,4,10,0
6,8,4,11,0
6,8,4,12,0
6,8,4,13,0
6,8,4,14,0
6,8,4,15,0
6,8,4,16,0
6,8,4,17,0
6,8,4,18,0
6,8,4,19,0
6,8,4,20,0
6,8,4,21,0
6,8,4,22,0
6,8,4,23,0
6,8,4,24,0
6,8,4,25,0
6,8,4,26,0
6,8,4,27,0
6,8,4,28,0
6,8,4,29,0
6,8,4,30,0
6,8,4,31,0
6,8,4,32,0
6,8,4,33,0
6,8,4,34,0
6,8,4,35,0
6,8,4,36,0
6,8,4,37,0
6,8,4,38,0
6,8,4,39,0
6,8,4,40,0
6,8,4,41,0
6,8,4,42,0
6,8,4,43,0
6,8,4,44,0
6,8,4,45,0
6,8,4,46,0
6,8,4,47,0
6,8,4,48,0
6,8,4,49,0
6,8,4,50,0
6,8,4,51,0
6,8,4,52,0
6,8,4,53,0
6,8,4,54,0
6,8,4,55,0
6,8,4,56,0
6,8,4,57,0
6,8,4,58,0
6,8,4,59,0
6,8,4,60,0
6,8,4,61,0
6,8,4,62,0
6,8,4,63,0
6,8,4,64,0
6,8,4,65,0
6,8,4,66,0
6,8,4,67,0
6,8,4,68,0
6,8,4,69,0
6,8,4,70,0
6,8,4,71,0
6,8,4,72,0
6,8,4,73,0
6,8,4,74,0
6,8,4,75,0
6,8,4,76,0
6,8,4,77,0
6,8,4,78,0
6,8,4,79,0
6,8,4,80,0
6,8,4,81,0
6,8,4,82,0
6,8,5,0,769820
6,8,5,1,677512
